uid,tag,key,time,did,value,metric,last_modify
6499811869,object_name,2024/06/18/6499811869/xiaomiwear_app_194037.NXJxZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1718710837,xiaomiwear_app,maHkIDIjCXiPb9G8Ocrfjg==,0,1718712449
6499811869,object_name,2024/06/17/6499811869/xiaomiwear_app_190215.txdwZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1718622135,xiaomiwear_app,S2UOEA0nc5ebBK1DCsnMpA==,0,1718709364
6499811869,object_name,2024/06/17/6499811869/xiaomiwear_app_190215.txdwZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1718622135,xiaomiwear_app,aDBO1T6VEey2K8dUmCuQdw==,0,1718709362
6499811869,object_name,2024/06/12/6499811869/xiaomiwear_app_084116.rO5oZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1718152876,xiaomiwear_app,pSNo0_jqglT2-ftszcfB9g==,0,1718153660
6499811869,object_name,2024/06/12/6499811869/xiaomiwear_app_084116.rO5oZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1718152876,xiaomiwear_app,vKwGuwjj9FqsitdVG6_Z3w==,0,1718153659
6499811869,object_name,2024/06/10/6499811869/514074232_203000.yPFmZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1718022600,514074232,Z3d9B7QIhan_6ahzCT4FAQ==,0,1718153126
6499811869,object_name,2024/06/09/6499811869/xiaomiwear_app_200249.6ZllZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1717934569,xiaomiwear_app,ODs9UUUUhSE1KB6VL11_rw==,0,1717935720
6499811869,object_name,2024/06/09/6499811869/xiaomiwear_app_200249.6ZllZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1717934569,xiaomiwear_app,CgTp1qkj-57sk8uwEmZblQ==,0,1717935721
6499811869,object_name,2024/06/07/6499811869/514074232_170600.eM1iZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1717751160,514074232,CjHs655L2i4HnHb8Zt9Hyg==,0,1717821531
6499811869,object_name,2024/06/01/6499811869/514074232_104200.eIpaZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1717209720,514074232,KvydgwOpVaSV_WzOruBBHA==,0,1717821530
6499811869,object_name,2024/05/31/6499811869/xiaomiwear_app_184953.UatZZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1717152593,xiaomiwear_app,WxhpTA0YSa3lJqtKUZ4n3w==,0,1717761846
6499811869,object_name,2024/05/31/6499811869/xiaomiwear_app_184953.UatZZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1717152593,xiaomiwear_app,U2MbGuhpbaOUHkkDVWYNhA==,0,1717761843
6499811869,object_name,2024/05/31/6499811869/514074232_075100.5BBZZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1717113060,514074232,5pmSufu9uhFXjtBK7sDqpQ==,0,1717821529
6499811869,object_name,2024/05/30/6499811869/xiaomiwear_app_190822.Jl5YZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1717067302,xiaomiwear_app,x8xZPBFTNz-ECI5fkvcuNA==,0,1717152591
6499811869,object_name,2024/05/30/6499811869/xiaomiwear_app_190822.Jl5YZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1717067302,xiaomiwear_app,3YenX3uRQ81tlbzRMaxuTg==,0,1717152592
6499811869,object_name,2024/05/29/6499811869/514074232_230000.8EJXZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1716994800,514074232,s42q-Di2XKB4cDTL08Ftfw==,0,1717821529
6499811869,object_name,2024/05/28/6499811869/xiaomiwear_app_181320.QK5VZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1716891200,xiaomiwear_app,xKioMJWJ12Kp2OSRnTvHHw==,0,1717029761
6499811869,object_name,2024/05/28/6499811869/xiaomiwear_app_181320.QK5VZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1716891200,xiaomiwear_app,L43K_4tkmLWFPlj8jXrYtA==,0,1717029761
6499811869,object_name,2024/05/28/6499811869/xiaomiwear_app_181319.P65VZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1716891199,xiaomiwear_app,IXzzRtkG70bQ0XZdgzV2HQ==,0,1717029759
6499811869,object_name,2024/05/27/6499811869/xiaomiwear_app_184026.GmNUZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1716806426,xiaomiwear_app,Y1BUEr28Wn5NgrE-EKynEg==,0,1716807301
6499811869,object_name,2024/05/27/6499811869/xiaomiwear_app_184026.GmNUZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1716806426,xiaomiwear_app,drIOOmrrsg1uGDeUHSmc7w==,0,1716807300
6499811869,object_name,2024/05/26/6499811869/xiaomiwear_app_221213.PUNTZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1716732733,xiaomiwear_app,nfiC3BZpxVSzgukvJkcKuw==,0,1716806426
6499811869,object_name,2024/05/26/6499811869/xiaomiwear_app_221213.PUNTZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1716732733,xiaomiwear_app,3OFnuYe435193x_Gf0Yc8Q==,0,1716806426
6499811869,object_name,2024/05/24/6499811869/514074232_191200.AHZQZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1716549120,514074232,MduDdglsOd4leTJ5R4W5RA==,0,1716806425
6499811869,object_name,2024/05/24/6499811869/514074232_093000.mO1PZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1716514200,514074232,e89q8G9A2ioeI9GsvqvWvA==,0,1716806424
6499811869,object_name,2024/05/23/6499811869/514074232_142200.iOBOZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1716445320,514074232,k-BwDY7QXtq0Uu_23OxZtw==,0,1716806424
6499811869,object_name,2024/05/22/6499811869/514074232_134500.XIZNZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1716356700,514074232,VUI_RiXDVVunnwiq0rnzPg==,0,1716806423
6499811869,object_name,2024/05/21/6499811869/514074232_231200.wLlMZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1716304320,514074232,QV_BbfuNVqo17fDl6BefLQ==,0,1716733427
6499811869,object_name,2024/05/20/6499811869/xiaomiwear_app_194954.4jhLZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1716205794,xiaomiwear_app,UNjC-iF8ADmT2iwWhKIQ4g==,0,1716206516
6499811869,object_name,2024/05/20/6499811869/xiaomiwear_app_194954.4jhLZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1716205794,xiaomiwear_app,gEfrsIFBsBAY1kDGZdaJmA==,0,1716206515
6499811869,object_name,2024/05/20/6499811869/xiaomiwear_app_190848.QC9LZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1716203328,xiaomiwear_app,WkpJIE572v1L7_Upzpsm2A==,0,1716206016
6499811869,object_name,2024/05/20/6499811869/xiaomiwear_app_190848.QC9LZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1716203328,xiaomiwear_app,blPT6W0fJxPm6SPGSgt9Ew==,0,1716206016
6499811869,object_name,2024/05/17/6499811869/xiaomiwear_app_182101.jS9HZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1715941261,xiaomiwear_app,9rQrZWfMUYgwSO7RdQ8WYg==,0,1716164512
6499811869,object_name,2024/05/17/6499811869/xiaomiwear_app_182101.jS9HZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1715941261,xiaomiwear_app,74WFRFH28KrRg4QXwm5pjA==,0,1716164513
6499811869,object_name,2024/05/15/6499811869/514074232_144000.wFhEZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1715755200,514074232,DLfNIvLx88olpqAk2rZ8yA==,0,1716203605
6499811869,object_name,2024/05/14/6499811869/xiaomiwear_app_182315.kztDZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1715682195,xiaomiwear_app,Ssi27393G2iUASn9KjVYOA==,0,1715682583
6499811869,object_name,2024/05/14/6499811869/xiaomiwear_app_182315.kztDZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1715682195,xiaomiwear_app,nle0YuAfPmAI5oLWjJBWgg==,0,1715682581
6499811869,object_name,2024/05/09/6499811869/xiaomiwear_app_184732.xKk8ZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1715251652,xiaomiwear_app,PnVkS3NW58YlPL5eA6TbZA==,0,1715252500
6499811869,object_name,2024/05/09/6499811869/xiaomiwear_app_184732.xKk8ZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1715251652,xiaomiwear_app,mJfAOh6AiBtzfz5IBjH6Dw==,0,1715252500
6499811869,object_name,2024/05/09/6499811869/xiaomiwear_app_182310.DqQ8ZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1715250190,xiaomiwear_app,3ESg7gLxn-GI8M9EzGNOfQ==,0,1715251931
6499811869,object_name,2024/05/09/6499811869/xiaomiwear_app_182310.DqQ8ZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1715250190,xiaomiwear_app,UmEUfEysYT8t6jhZLkpsLg==,0,1715251932
6499811869,object_name,2024/05/08/6499811869/xiaomiwear_app_182704.eFM7ZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1715164024,xiaomiwear_app,7hGp8TZaY8tfVfPzok6SCw==,0,1715250148
6499811869,object_name,2024/05/08/6499811869/xiaomiwear_app_182704.eFM7ZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1715164024,xiaomiwear_app,9xO1cGuFdr-EC9R7v9sb3Q==,0,1715250149
6499811869,object_name,2024/05/07/6499811869/514074232_190246.Vgo6ZiCI_15wrfviLrNNm0wW3o-SsviNmTF4,1715079766,514074232,GbRIUh3qW4YK-hBuAXLaYQ==,0,1715081131
6499811869,object_name,2024/05/07/6499811869/xiaomiwear_app_183743.dwQ6ZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1715078263,xiaomiwear_app,ULDFcM5TgeYk9VXtjuBMNg==,0,1715081130
6499811869,object_name,2024/05/07/6499811869/xiaomiwear_app_183743.dwQ6ZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1715078263,xiaomiwear_app,GdocoByx4uwNt39juTbI-A==,0,1715081129
6499811869,object_name,2024/05/05/6499811869/xiaomiwear_app_171432.-E03ZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1714900472,xiaomiwear_app,selXeOwE5RGOc_cBqcs8HQ==,0,1714990818
6499811869,object_name,2024/05/05/6499811869/xiaomiwear_app_171432.-E03ZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1714900472,xiaomiwear_app,rJfrUhQvvgif5tk4JsuGnw==,0,1714990818
6499811869,object_name,2024/04/29/6499811869/514074232_181500.JHMvZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1714385700,514074232,5L_NoerOf4vJKl2-pZy4cw==,0,1714900468
6499811869,object_name,2024/04/17/6499811869/xiaomiwear_app_181644.jKEfZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1713349004,xiaomiwear_app,AFX4k8KTyWnjmEpdq7YpKw==,0,1713350329
6499811869,object_name,2024/04/17/6499811869/xiaomiwear_app_181644.jKEfZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1713349004,xiaomiwear_app,-k9dqAoLaZDmKsJ9lZqZwQ==,0,1713350328
6499811869,object_name,2024/04/16/6499811869/514074232_134400.IBAeZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1713246240,514074232,vAv_M_hdZc0FdG4vdEcLWw==,0,1713350327
6499811869,object_name,2024/04/13/6499811869/xiaomiwear_app_115130.QgEaZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1712980290,xiaomiwear_app,wZBn5oD0CB5_sC80xsbW6g==,0,1713089941
6499811869,object_name,2024/04/13/6499811869/xiaomiwear_app_115130.QgEaZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1712980290,xiaomiwear_app,LKPUvLvr47koZmOjEEW44Q==,0,1713089934
6499811869,object_name,2024/04/13/6499811869/xiaomiwear_app_101509.reoZZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1712974509,xiaomiwear_app,o5VgAfjdTivHcoP7kWn2cA==,0,1712975670
6499811869,object_name,2024/04/13/6499811869/xiaomiwear_app_101509.reoZZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1712974509,xiaomiwear_app,B_VCL0eSNZ2TL5CGG_Q7_Q==,0,1712975670
6499811869,object_name,2024/04/11/6499811869/514074232_143000.aIMXZiAg_15wrfviLrNNm0wW3o-SsviNmTF4,1712817000,514074232,3b8JYwj-9qTtwCPPNtcS0A==,0,1712974521
6499811869,object_name,2024/04/10/6499811869/xiaomiwear_app_180521.YWQWZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1712743521,xiaomiwear_app,KmFkOFvSavhW_Qng36LyyQ==,0,1712744759
6499811869,object_name,2024/04/10/6499811869/xiaomiwear_app_180521.YWQWZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1712743521,xiaomiwear_app,aWYBaR2UHKIYEekyXk4kJg==,0,1712744758
6499811869,object_name,2024/04/08/6499811869/xiaomiwear_app_184844.jMsTZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1712573324,xiaomiwear_app,hiSYSnv9DM281tG0e4edHg==,0,1712573984
6499811869,object_name,2024/04/08/6499811869/xiaomiwear_app_184844.jMsTZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1712573324,xiaomiwear_app,YYJrk4gp_LcXKVAClwzDEg==,0,1712573984
6499811869,object_name,2024/04/08/6499811869/514074232_184528.yMoTZiCI_15wrfviLrNNm0wW3o-SsviNmTF4,1712573128,514074232,Q6c2iCGdGDgvs0cwrFVm0Q==,0,1712573599
6499811869,object_name,2024/04/08/6499811869/xiaomiwear_app_184355.a8oTZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1712573035,xiaomiwear_app,bAdMJ_xGTbGY6rzhpn3mHg==,0,1712573599
6499811869,object_name,2024/04/08/6499811869/xiaomiwear_app_184355.a8oTZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1712573035,xiaomiwear_app,HkrSVAt60GjVv8iGiG4iSg==,0,1712573598
6499811869,object_name,2024/04/08/6499811869/xiaomiwear_app_083308.RDsTZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1712536388,xiaomiwear_app,RANZE5gOqPJaLoUMouFJYg==,0,1712573033
6499811869,object_name,2024/04/08/6499811869/xiaomiwear_app_083308.RDsTZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1712536388,xiaomiwear_app,ygfN8C75KaHl76n0HkkslA==,0,1712573032
6499811869,object_name,2024/04/03/6499811869/xiaomiwear_app_181000.-CoNZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1712139000,xiaomiwear_app,f0ggokxRqFarySOpHPpong==,0,1712302287
6499811869,object_name,2024/04/03/6499811869/xiaomiwear_app_181000.-CoNZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1712139000,xiaomiwear_app,AwjKjbVAis0jt05EsSKt9w==,0,1712302286
6499811869,object_name,2024/03/30/6499811869/514074232_190508.5PEHZiCI_15wrfviLrNNm0wW3o-SsviNmTF4,1711796708,514074232,JD1gp7N1uB-pudXREzZW2g==,0,1712138975
6499811869,object_name,2024/03/28/6499811869/xiaomiwear_app_180745.cUEFZiDa_CCImknc7uk48cwINJ97jvvcNGFI,1711620465,xiaomiwear_app,15cgvx7ekzrnpTVgktVJBg==,0,1711621901
6499811869,object_name,2024/03/28/6499811869/xiaomiwear_app_180745.cUEFZiDY_CCImknc7uk48cwINJ97jvvcNGFI,1711620465,xiaomiwear_app,r6yV-ci9t-0dBmJn2FpyOA==,0,1711621900
6499811869,object_name,2024/03/27/6499811869/514074232_191911.rwAEZiCI_15wrfviLrNNm0wW3o-SsviNmTF4,1711538351,514074232,SFkwvIkrQnHw5OVB81bpWQ==,0,1711620803
6499811869,object_name,2024/03/09/6499811869/514074232_103000.qMnrZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1709951400,514074232,RdtA_Lk3buRSWxmDaIJWKA==,0,1710238871
6499811869,object_name,2024/03/08/6499811869/514074232_180000.oOHqZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1709892000,514074232,Bc3yGVgMWUYrAxftCkolBw==,0,1710238870
6499811869,object_name,2024/03/05/6499811869/514074232_081300.jGPmZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1709597580,514074232,UXMO4G0Cdi0PFWZnwm1Mug==,0,1709864146
6499811869,object_name,2024/02/27/6499811869/514074232_115200.YFzdZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1709005920,514074232,Zq2C0M0zO7AHNIu9lGjc9g==,0,1709864146
6499811869,object_name,2024/02/27/6499811869/514074232_000000.gLXcZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1708963200,514074232,YVsJ8LAqW1SCtmy31yulVg==,0,1709864145
6499811869,object_name,2024/02/22/6499811869/xiaomiwear_app_184140.5CTXZSDa_CCImknc7uk48cwINJ97jvvcNGFI,1708598500,xiaomiwear_app,1UgH660Til6BmWkMXr99qg==,0,1708687228
6499811869,object_name,2024/02/22/6499811869/xiaomiwear_app_184140.5CTXZSDY_CCImknc7uk48cwINJ97jvvcNGFI,1708598500,xiaomiwear_app,HgARs8EkfX88Koeon0LlFg==,0,1708687228
6499811869,object_name,2024/02/21/6499811869/514074232_211708.1PfVZSCI_15wrfviLrNNm0wW3o-SsviNmTF4,1708521428,514074232,CIpvN0zdareS0zEJei5WNQ==,0,1708687227
6499811869,object_name,2024/02/21/6499811869/514074232_194909.NePVZSCI_15wrfviLrNNm0wW3o-SsviNmTF4,1708516149,514074232,do2uFd1lQPEuXGwP_k6qJA==,0,1708598477
6499811869,object_name,2024/02/21/6499811869/xiaomiwear_app_194337.6eHVZSCC_CCImknc7uk48cwINJ97jvvcNGFI,1708515817,xiaomiwear_app,1OxgYFKzoruqeKVrEvU45A==,0,1708687226
6499811869,object_name,2024/02/20/6499811869/514074232_074100.DOfTZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1708386060,514074232,N3ds5cieNvAVnif5Mk_FTQ==,0,1708516171
6499811869,object_name,2024/02/15/6499811869/514074232_150100.rLbNZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1707980460,514074232,-UFzl8GVW53av6QUtwuBYQ==,0,1708353716
6499811869,object_name,2024/02/03/6499811869/514074232_080100.PIK9ZSAg_15wrfviLrNNm0wW3o-SsviNmTF4,1706918460,514074232,sTydsmwZM0rvKadjGGxc1A==,0,1708353714
